Taxon,N,Log10N,S,Log10S,Nmax,Log10Nmax,N-Reference,S-Reference,Nmax-Reference
trees,3.00E+12,12.47712125,6.00E+04,4.8,1.00E+00,0,Crowtheretal2015Nature,http://www.bgci.org/global_tree_search.php;,
ants,1.00E+13,13,1.20E+04,4.1,1.00E+00,0,https://wonderopolis.org/wonder/how-many-animals-are-there-in-the-world,http://antark.net/ant-species/,
insects,1.00E+18,18,5.50E+06,6.7,1.00E+00,0,https://wonderopolis.org/wonder/how-many-animals-are-there-in-the-world; https://www.si.edu/spotlight/buginfo/bugnoshttps://en.wikipedia.org/wiki/Lists_of_organisms_by_population,http://www.pnas.org/content/112/24/7519.full.pdf,
birds,3.00E+11,11.47712125,1.10E+04,4,3000000000,9.477121255,LoceyLennon2017b,Locey and Lennon 2017b,
animals,2.00E+19,19.30103,7.70E+06,6.9,1.00E+00,0,http://animals.mom.me/number-animals-earth-3994.html,http://animals.mom.me/number-animals-earth-3994.html,
whales,1.70E+06,6.230448921,8.80E+01,1.9,3.00E+06,6.477121255,https://www.reference.com/pets-animals/many-whales-left-world-8ace26362b9893eb,https://en.wikipedia.org/wiki/List_of_cetacean_species,https://en.wikipedia.org/wiki/List_of_cetacean_species#Global_population_estimates
ocean fish,3.50E+12,12.54406804,1.50E+04,4.2,24000000000,10.38021124,https://en.wikipedia.org/wiki/Lists_of_organisms_by_population,http://www.orma.com/news/how-many-fish-are-in-the-ocean/,https://www.nytimes.com/2015/06/30/science/bristlemouth-ocean-deep-sea-cyclothone.html
non-human primates,1407880,6.148565639,6.20E+01,1.792391689,3125000,6.494850022,https://en.wikipedia.org/wiki/List_of_primates_by_population,https://en.wikipedia.org/wiki/List_of_primates_by_population,https://en.wikipedia.org/wiki/List_of_primates_by_population
termites,2.40E+17,17.38021124,3.10E+03,3.5,1.00E+00,0,Whitman-1998,http://www.npr.org/sections/thetwo-way/2011/11/03/141946751/along-with-humans-who-else-is-in-the-7-billion-club,
earthworms,5.00E+15,15.69897,7.00E+03,3.8,1.00E+00,0,http://reducing-suffering.org/how-many-wild-animals-are-there/; https://en.wikipedia.org/wiki/Earthworm,,
UK mammals,291012476,8.463911608,60,1.8,1.00E+00,0,http://jncc.defra.gov.uk/pdf/pub05_ukmammals_speciesstatusText_final.pdf,http://jncc.defra.gov.uk/pdf/pub05_ukmammals_speciesstatusText_final.pdf,
primates,7601407880,9.880894037,6.30E+01,1.792391689,7600000000,9.880813592,https://en.wikipedia.org/wiki/List_of_primates_by_population,https://en.wikipedia.org/wiki/List_of_primates_by_population,https://en.wikipedia.org/wiki/List_of_primates_by_population
